Date; Q; P; Tg
15.05.2012 13:09:20;0,023;1,9;7,5458
15.05.2012 14:02:22;0,04255;1,91;7,5824
15.05.2012 15:02:20;0,0506;1,93;7,5824
15.05.2012 16:02:42;0,04416;1,95;7,5824
15.05.2012 16:27:26;0,04416;1,95;7,5824
15.05.2012 16:47:22;0,0506;1,93;7,5824
15.05.2012 18:03:02;0,01794;1,98;7,619
15.05.2012 19:03:06;0,01978;1,97;7,6557
15.05.2012 20:03:04;0,01817;1,94;7,7289
15.05.2012 21:03:08;0,02139;1,91;7,6923
15.05.2012 22:03:08;0,023;1,88;7,6557
15.05.2012 23:03:06;0,01633;1,86;7,6557
16.05.2012 0:03:04;0,00828;1,85;7,6923
16.05.2012 1:03:04;0,00828;1,85;7,6923
16.05.2012 2:03:02;0;1,85;7,6923
16.05.2012 3:03:04;0,00805;1,85;7,6923
16.05.2012 4:03:04;0;1,85;7,6923
16.05.2012 5:03:00;0,00805;1,86;7,6923
16.05.2012 6:03:02;0,0161;1,85;7,6557
16.05.2012 7:03:06;0,05474;1,85;7,6557
16.05.2012 8:02:54;0,05198;1,85;7,6923
16.05.2012 9:02:56;0,06555;1,85;7,7289
16.05.2012 9:41:52;0,05934;1,87;7,7289
16.05.2012 9:53:30;0,05704;1,88;7,7289
16.05.2012 10:06:14;0,05405;1,89;7,7289
16.05.2012 11:06:30;0,05589;1,94;7,7656
16.05.2012 13:31:56;0,04623;1,95;7,8388
16.05.2012 14:28:02;0,04577;1,94;7,8022
16.05.2012 15:15:22;0,04784;1,92;7,8388
16.05.2012 16:06:06;0,04692;1,9;7,7656
16.05.2012 17:06:42;0,0138;1,9;7,7656
16.05.2012 18:06:06;0,02415;1,9;7,7656
16.05.2012 19:06:42;0,02921;1,88;7,7289
16.05.2012 20:06:42;0,02806;1,86;7,6923
16.05.2012 21:05:56;0,02806;1,85;7,6923
16.05.2012 22:05:58;0,02806;1,84;7,6557
16.05.2012 23:05:56;0,01978;1,84;7,6923
17.05.2012 0:05:46;0,0115;1,85;7,7289
17.05.2012 1:05:42;0,0115;1,85;7,7656
17.05.2012 2:05:46;0,0115;1,86;7,8022
17.05.2012 3:05:46;0,0115;1,86;7,7656
17.05.2012 4:05:56;0,00805;1,87;7,7289
17.05.2012 5:05:36;0,0115;1,87;7,7289
17.05.2012 6:05:58;0,02139;1,86;7,6923
17.05.2012 7:06:06;0,05589;1,85;7,6923
17.05.2012 8:21:52;0,06072;1,85;7,7289
17.05.2012 9:13:06;0,05888;1,85;7,6557
17.05.2012 10:21:52;0,05773;1,87;7,6923
17.05.2012 11:05:26;0,09338;1,88;7,7289
17.05.2012 12:05:20;0,09338;1,86;7,8022
17.05.2012 13:05:16;0,09338;0,19;7,7656
17.05.2012 14:05:10;0,05658;1,88;7,7289
17.05.2012 15:05:34;0,04301;1,88;7,7656
17.05.2012 16:06:02;0,0506;1,88;7,8388
18.05.2012 7:44:52;0,05773;1,84;7,7289
18.05.2012 8:05:54;0,0552;1,84;7,7289
18.05.2012 9:06:18;0,05957;1,85;7,7289
18.05.2012 10:06:50;0,05497;1,85;7,7656
18.05.2012 11:06:40;0,0575;1,85;7,8022
18.05.2012 12:07:04;0,05359;1,86;7,7656
18.05.2012 13:06:40;0,05037;1,87;7,6923
18.05.2012 14:06:48;0,04508;1,88;7,7289
18.05.2012 15:07:02;0,046;1,88;7,7656
18.05.2012 16:07:00;0,03933;1,89;7,7656
18.05.2012 17:06:50;0,03404;1,89;7,7656
18.05.2012 18:06:46;0,01334;1,91;7,7656
18.05.2012 19:06:44;0,01656;1,9;7,7289
18.05.2012 20:06:46;0,02553;1,9;7,7289
18.05.2012 21:06:40;0,02921;1,89;7,7289
18.05.2012 22:06:34;0,02898;1,88;7,7289
18.05.2012 23:06:36;0,02691;1,88;7,7289
19.05.2012 0:06:34;0,02116;1,88;7,7289
19.05.2012 1:06:52;0,01817;1,88;7,7656
19.05.2012 2:06:56;0,01909;1,89;7,7656
19.05.2012 3:06:40;0,01817;1,9;7,7656
19.05.2012 4:06:14;0,01679;1,9;7,7656
19.05.2012 5:06:24;0,01702;1,9;7,7656
19.05.2012 6:06:40;0,0483;1,9;7,7656
19.05.2012 7:06:44;0,06647;1,89;7,8022
19.05.2012 8:06:36;0,06302;1,89;7,8388
19.05.2012 9:06:40;0,06141;1,9;7,8755
19.05.2012 10:06:40;0,04876;1,91;7,9121
19.05.2012 11:06:40;0,04094;1,94;7,9121
19.05.2012 12:06:56;0,04002;1,97;7,9853
19.05.2012 13:06:38;0,03979;1,98;7,9853
19.05.2012 14:06:36;0,0391;2;7,9853
19.05.2012 15:06:44;0,03933;2;7,9853
19.05.2012 16:06:48;0,04347;2,02;8,022
19.05.2012 17:06:42;0,03818;2,02;8,022
19.05.2012 18:06:48;0,02967;2,01;7,9853
