Date; Q; P; Tg
15.05.2012 13:00:00;17,07106;98,22000;188,64500
15.05.2012 14:00:00;17,01103;98,18000;189,56000
15.05.2012 15:00:00;17,10671;98,37000;189,56000
15.05.2012 16:00:00;33,98664;196,66000;379,12000
15.05.2012 17:00:00;17,10671;98,37000;189,56000
15.05.2012 18:00:00;17,08877;98,00000;190,47500
15.05.2012 19:00:00;17,19825;97,92000;191,39250
15.05.2012 20:00:00;17,22056;98,11000;193,22250
15.05.2012 21:00:00;17,23482;98,07000;192,30750
15.05.2012 22:00:00;17,13753;97,89000;191,39250
15.05.2012 23:00:00;16,95330;97,71000;191,39250
16.05.2012 00:00:00;15,39045;97,55000;192,30750
16.05.2012 01:00:00;15,45600;97,67000;192,30750
16.05.2012 02:00:00;15,52477;97,76000;192,30750
16.05.2012 03:00:00;15,59814;97,89000;192,30750
16.05.2012 04:00:00;15,66714;98,15000;192,30750
16.05.2012 05:00:00;15,83113;98,45000;192,30750
16.05.2012 06:00:00;16,09241;98,77000;191,39250
16.05.2012 07:00:00;16,44132;98,85000;191,39250
16.05.2012 08:00:00;17,42687;98,77000;192,30750
16.05.2012 09:00:00;17,39191;98,68000;193,22250
16.05.2012 10:00:00;51,97310;295,96000;579,66750
16.05.2012 11:00:00;17,26334;98,52000;194,14000
16.05.2012 14:00:00;34,24171;196,79000;391,02500
16.05.2012 15:00:00;16,97124;98,26000;195,97000
16.05.2012 16:00:00;17,03058;98,20000;194,14000
16.05.2012 17:00:00;17,07727;97,97000;194,14000
16.05.2012 18:00:00;17,13983;97,86000;194,14000
16.05.2012 19:00:00;17,13868;97,42000;193,22250
16.05.2012 20:00:00;18,12883;96,55000;192,30750
16.05.2012 21:00:00;17,99589;95,03000;192,30750
16.05.2012 22:00:00;17,83236;93,08000;191,39250
16.05.2012 23:00:00;17,68401;92,86000;192,30750
17.05.2012 00:00:00;17,31164;92,80000;193,22250
17.05.2012 01:00:00;15,75500;92,88000;194,14000
17.05.2012 02:00:00;15,87851;93,09000;195,05500
17.05.2012 03:00:00;15,94475;93,28000;194,14000
